population,alt,delta,rep,ui_ts_sample_size,ui_ts_time,lcb_sample_size,lcb_time,peak_sample_size,peak_time
bernoulli,0.6,0.0,82,126.0,1.6194109916687012,145,2.475604295730591,130.0,6.575573921203613
bernoulli,0.6,0.0,83,225.0,1.6035740375518799,409,2.4760661125183105,242.0,6.584815263748169
bernoulli,0.6,0.0,84,874.0,1.6035587787628174,1200,2.485700845718384,876.0,6.585917949676514
bernoulli,0.6,0.0,85,528.0,1.6041197776794434,1019,2.85585618019104,1036.0,6.570560932159424
bernoulli,0.6,0.0,86,304.0,1.6125268936157227,460,2.4853951930999756,453.0,6.60733699798584
bernoulli,0.6,0.0,87,829.0,1.6102960109710693,967,2.58011794090271,972.0,6.574427127838135
bernoulli,0.6,0.0,88,474.0,1.6153059005737305,721,2.480462074279785,607.0,6.575134992599487
bernoulli,0.6,0.0,89,324.0,1.604835033416748,545,2.4742841720581055,348.0,6.566057920455933
bernoulli,0.6,0.0,90,538.0,1.6066622734069824,763,2.4970650672912598,482.0,6.662105083465576
bernoulli,0.6,0.0,91,479.0,1.6321742534637451,527,2.5232949256896973,530.0,6.675923109054565
bernoulli,0.6,0.0,92,878.0,1.6232633590698242,1200,2.5052590370178223,1029.0,6.682541131973267
bernoulli,0.6,0.0,93,893.0,1.6393780708312988,1059,2.538494825363159,1028.0,6.704112768173218
bernoulli,0.6,0.0,94,411.0,1.6384429931640625,816,2.53983998298645,437.0,6.684669017791748
bernoulli,0.6,0.0,95,242.0,1.6503698825836182,372,2.539975881576538,372.0,6.700940132141113
bernoulli,0.6,0.0,96,625.0,1.6426410675048828,912,2.54066801071167,791.0,6.704240798950195
bernoulli,0.6,0.0,97,431.0,1.6465768814086914,679,2.532862901687622,739.0,6.7055909633636475
bernoulli,0.6,0.0,98,731.0,1.6821269989013672,788,2.543919801712036,760.0,6.736192226409912
bernoulli,0.6,0.0,99,206.0,1.6474311351776123,601,2.5400311946868896,668.0,6.720046043395996
