alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,100,0.5,uinnsm_product,smooth_predictable,greedy_kelly,305,305.0,-43.04937672615051,[0.245 0.755]
0.51,500,0.5,uinnsm_product,smooth_predictable,greedy_kelly,303,303.0,-216.1502468585968,[0.249 0.751]
0.51,1,0.5,lcb,fixed_predictable,round_robin,400,400,-0.8860108852386475,
0.51,3,0.5,lcb,fixed_predictable,round_robin,400,400,-0.8838610649108887,
0.51,10,0.5,lcb,fixed_predictable,round_robin,400,400,-0.8948874473571777,
0.51,100,0.5,lcb,fixed_predictable,round_robin,400,400,-0.8846685886383057,
0.51,500,0.5,lcb,fixed_predictable,round_robin,400,400,-0.8865056037902832,
0.51,1,0.5,lcb,fixed_predictable,predictable_kelly,,,-0.8865056037902832,
0.51,3,0.5,lcb,fixed_predictable,predictable_kelly,,,-0.8865056037902832,
0.51,10,0.5,lcb,fixed_predictable,predictable_kelly,,,-0.8865056037902832,
0.51,100,0.5,lcb,fixed_predictable,predictable_kelly,,,-0.8865056037902832,
0.51,500,0.5,lcb,fixed_predictable,predictable_kelly,,,-0.8865056037902832,
0.51,1,0.5,lcb,fixed_predictable,greedy_kelly,,,-0.8865056037902832,
0.51,3,0.5,lcb,fixed_predictable,greedy_kelly,,,-0.8865056037902832,
0.51,10,0.5,lcb,fixed_predictable,greedy_kelly,,,-0.8865056037902832,
0.51,100,0.5,lcb,fixed_predictable,greedy_kelly,,,-0.8865056037902832,
0.51,500,0.5,lcb,fixed_predictable,greedy_kelly,,,-0.8865056037902832,
0.51,1,0.5,lcb,agrapa,round_robin,400,400,-1.8284211158752441,
0.51,3,0.5,lcb,agrapa,round_robin,400,400,-1.8316709995269775,
0.51,10,0.5,lcb,agrapa,round_robin,400,400,-1.8258719444274902,
0.51,100,0.5,lcb,agrapa,round_robin,400,400,-1.8274636268615723,
0.51,500,0.5,lcb,agrapa,round_robin,400,400,-1.8325018882751465,
0.51,1,0.5,lcb,agrapa,predictable_kelly,,,-1.8325018882751465,
0.51,3,0.5,lcb,agrapa,predictable_kelly,,,-1.8325018882751465,
0.51,10,0.5,lcb,agrapa,predictable_kelly,,,-1.8325018882751465,
0.51,100,0.5,lcb,agrapa,predictable_kelly,,,-1.8325018882751465,
0.51,500,0.5,lcb,agrapa,predictable_kelly,,,-1.8325018882751465,
0.51,1,0.5,lcb,agrapa,greedy_kelly,,,-1.8325018882751465,
0.51,3,0.5,lcb,agrapa,greedy_kelly,,,-1.8325018882751465,
0.51,10,0.5,lcb,agrapa,greedy_kelly,,,-1.8325018882751465,
0.51,100,0.5,lcb,agrapa,greedy_kelly,,,-1.8325018882751465,
0.51,500,0.5,lcb,agrapa,greedy_kelly,,,-1.8325018882751465,
0.51,1,0.5,lcb,smooth_predictable,round_robin,400,400,-0.6423671245574951,
0.51,3,0.5,lcb,smooth_predictable,round_robin,400,400,-0.6455502510070801,
0.51,10,0.5,lcb,smooth_predictable,round_robin,400,400,-0.6445882320404053,
0.51,100,0.5,lcb,smooth_predictable,round_robin,400,400,-0.643629789352417,
0.51,500,0.5,lcb,smooth_predictable,round_robin,400,400,-0.6445550918579102,
0.51,1,0.5,lcb,smooth_predictable,predictable_kelly,,,-0.6445550918579102,
0.51,3,0.5,lcb,smooth_predictable,predictable_kelly,,,-0.6445550918579102,
0.51,10,0.5,lcb,smooth_predictable,predictable_kelly,,,-0.6445550918579102,
0.51,100,0.5,lcb,smooth_predictable,predictable_kelly,,,-0.6445550918579102,
0.51,500,0.5,lcb,smooth_predictable,predictable_kelly,,,-0.6445550918579102,
0.51,1,0.5,lcb,smooth_predictable,greedy_kelly,,,-0.6445550918579102,
0.51,3,0.5,lcb,smooth_predictable,greedy_kelly,,,-0.6445550918579102,
0.51,10,0.5,lcb,smooth_predictable,greedy_kelly,,,-0.6445550918579102,
0.51,100,0.5,lcb,smooth_predictable,greedy_kelly,,,-0.6445550918579102,
0.51,500,0.5,lcb,smooth_predictable,greedy_kelly,,,-0.6445550918579102,
0.5226315789473684,1,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.05315256118774414,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.1543571949005127,[0.83333333 0.16666667]
0.5226315789473684,10,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.516381025314331,[0.75 0.25]
0.5226315789473684,100,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-5.113503932952881,[0.725 0.275]
0.5226315789473684,500,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-25.65224027633667,[0.725 0.275]
0.5226315789473684,1,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.31800079345703125,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,fixed_predictable,predictable_kelly,326,400.0,-0.9479403495788574,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,fixed_predictable,predictable_kelly,149,292.0,-3.1634693145751953,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,fixed_predictable,predictable_kelly,149,292.0,-31.790483713150024,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,fixed_predictable,predictable_kelly,149,292.0,-159.13781118392944,[0.499 0.501]
0.5226315789473684,1,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-0.73008131980896,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-1.5845685005187988,[0.16666667 0.83333333]
0.5226315789473684,10,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-4.583799362182617,[0.05 0.95]
0.5226315789473684,100,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-42.91836619377136,[0.005 0.995]
0.5226315789473684,500,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-214.8707149028778,[0.001 0.999]
0.5226315789473684,1,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.05404067039489746,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.15716075897216797,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,agrapa,round_robin,190,190.0,-0.5179271697998047,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,agrapa,round_robin,136,136.0,-5.193348169326782,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,agrapa,round_robin,122,122.0,-26.086716175079346,[0.487 0.513]
0.5226315789473684,1,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.31806039810180664,[0.5 0.5]
