alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,10,0.0,lcb,inverse,round_robin,400,400,-18.20292901992798,
0.51,100,0.0,lcb,inverse,round_robin,400,400,-18.158244132995605,
0.51,500,0.0,lcb,inverse,round_robin,400,400,-18.262001991271973,
0.51,1,0.0,lcb,inverse,predictable_kelly,,,-18.262001991271973,
0.51,3,0.0,lcb,inverse,predictable_kelly,,,-18.262001991271973,
0.51,10,0.0,lcb,inverse,predictable_kelly,,,-18.262001991271973,
0.51,100,0.0,lcb,inverse,predictable_kelly,,,-18.262001991271973,
0.51,500,0.0,lcb,inverse,predictable_kelly,,,-18.262001991271973,
0.51,1,0.0,lcb,inverse,greedy_kelly,,,-18.262001991271973,
0.51,3,0.0,lcb,inverse,greedy_kelly,,,-18.262001991271973,
0.51,10,0.0,lcb,inverse,greedy_kelly,,,-18.262001991271973,
0.51,100,0.0,lcb,inverse,greedy_kelly,,,-18.262001991271973,
0.51,500,0.0,lcb,inverse,greedy_kelly,,,-18.262001991271973,
0.51,1,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.07536458969116211,[0.5 0.5]
0.51,3,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.2193751335144043,[0.5 0.5]
0.51,10,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.731630802154541,[0.35 0.65]
0.51,100,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-7.349212646484375,[0.395 0.605]
0.51,500,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-37.23779296875,[0.399 0.601]
0.51,1,0.5,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.3675217628479004,[0.5 0.5]
0.51,3,0.5,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-1.0848617553710938,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,fixed_predictable,predictable_kelly,378,400.0,-3.634498119354248,[0.25 0.75]
0.51,100,0.5,uinnsm_product,fixed_predictable,predictable_kelly,336,400.0,-36.53717064857483,[0.245 0.755]
0.51,500,0.5,uinnsm_product,fixed_predictable,predictable_kelly,336,400.0,-183.85399794578552,[0.249 0.751]
0.51,1,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-0.8076493740081787,[0.5 0.5]
0.51,3,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-1.7737491130828857,[0.83333333 0.16666667]
0.51,10,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-5.161771059036255,[0.95 0.05]
0.51,100,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-49.1371636390686,[0.995 0.005]
0.51,500,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-237.2195074558258,[0.999 0.001]
0.51,1,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-0.07524275779724121,[0.5 0.5]
0.51,3,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-0.22026729583740234,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-0.7312204837799072,[0.25 0.75]
0.51,100,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-7.31998610496521,[0.255 0.745]
0.51,500,0.5,uinnsm_product,agrapa,round_robin,282,282.0,-36.7197163105011,[0.259 0.741]
0.51,1,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.3520050048828125,[0.5 0.5]
0.51,3,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-1.0501916408538818,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-3.5443079471588135,[0.25 0.75]
0.51,100,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-35.24310111999512,[0.255 0.745]
0.51,500,0.5,uinnsm_product,agrapa,predictable_kelly,183,360.0,-176.4993486404419,[0.255 0.745]
0.51,1,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-0.7903778553009033,[0.5 0.5]
0.51,3,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-1.7313768863677979,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-4.995801210403442,[0.25 0.75]
0.51,100,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-47.6785306930542,[0.255 0.745]
0.51,500,0.5,uinnsm_product,agrapa,greedy_kelly,189,189.0,-239.95297479629517,[0.259 0.741]
0.51,1,0.5,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.07966899871826172,[0.5 0.5]
0.51,3,0.5,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.232588529586792,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.7703006267547607,[0.25 0.75]
0.51,100,0.5,uinnsm_product,smooth_predictable,round_robin,334,334.0,-7.739633083343506,[0.255 0.745]
0.51,500,0.5,uinnsm_product,smooth_predictable,round_robin,330,330.0,-38.577311515808105,[0.255 0.745]
0.51,1,0.5,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-0.3695363998413086,[0.5 0.5]
0.51,3,0.5,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-1.078690767288208,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-3.6218109130859375,[0.25 0.75]
0.51,100,0.5,uinnsm_product,smooth_predictable,predictable_kelly,333,400.0,-36.40108895301819,[0.255 0.745]
0.51,500,0.5,uinnsm_product,smooth_predictable,predictable_kelly,328,400.0,-182.17152428627014,[0.251 0.749]
0.51,1,0.5,uinnsm_product,smooth_predictable,greedy_kelly,400,400.0,-0.8411250114440918,[0.5 0.5]
0.51,3,0.5,uinnsm_product,smooth_predictable,greedy_kelly,400,400.0,-1.7293331623077393,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,smooth_predictable,greedy_kelly,400,400.0,-5.01894998550415,[0.25 0.75]
0.51,100,0.5,uinnsm_product,smooth_predictable,greedy_kelly,333,333.0,-47.6140022277832,[0.245 0.755]
0.51,500,0.5,uinnsm_product,smooth_predictable,greedy_kelly,328,328.0,-237.32910251617432,[0.251 0.749]
0.51,1,0.5,uinnsm_product,inverse,round_robin,400,400.0,-0.0756232738494873,[0.5 0.5]
0.51,3,0.5,uinnsm_product,inverse,round_robin,400,400.0,-0.21878314018249512,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,inverse,round_robin,400,400.0,-0.7280688285827637,[0.25 0.75]
0.51,100,0.5,uinnsm_product,inverse,round_robin,302,302.0,-7.423112630844116,[0.255 0.745]
0.51,500,0.5,uinnsm_product,inverse,round_robin,299,299.0,-36.8979389667511,[0.257 0.743]
0.51,1,0.5,uinnsm_product,inverse,predictable_kelly,400,400.0,-0.35207247734069824,[0.5 0.5]
0.51,3,0.5,uinnsm_product,inverse,predictable_kelly,400,400.0,-1.0545880794525146,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,inverse,predictable_kelly,400,400.0,-3.5154573917388916,[0.25 0.75]
0.51,100,0.5,uinnsm_product,inverse,predictable_kelly,301,400.0,-35.363826513290405,[0.255 0.745]
0.51,500,0.5,uinnsm_product,inverse,predictable_kelly,297,400.0,-177.43084716796875,[0.251 0.749]
0.51,1,0.5,uinnsm_product,inverse,greedy_kelly,400,400.0,-0.8288984298706055,[0.5 0.5]
0.51,3,0.5,uinnsm_product,inverse,greedy_kelly,400,400.0,-1.7357122898101807,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,inverse,greedy_kelly,400,400.0,-5.024847745895386,[0.25 0.75]
0.51,100,0.5,uinnsm_product,inverse,greedy_kelly,302,302.0,-47.84334468841553,[0.255 0.745]
0.51,500,0.5,uinnsm_product,inverse,greedy_kelly,297,297.0,-242.45495581626892,[0.249 0.751]
0.51,1,0.5,lcb,fixed_predictable,round_robin,400,400,-18.220549821853638,
0.51,3,0.5,lcb,fixed_predictable,round_robin,400,400,-18.181422233581543,
0.51,10,0.5,lcb,fixed_predictable,round_robin,400,400,-18.194896697998047,
0.51,100,0.5,lcb,fixed_predictable,round_robin,400,400,-18.206666707992554,
0.51,500,0.5,lcb,fixed_predictable,round_robin,400,400,-18.191583156585693,
0.51,1,0.5,lcb,fixed_predictable,predictable_kelly,,,-18.191583156585693,
0.51,3,0.5,lcb,fixed_predictable,predictable_kelly,,,-18.191583156585693,
0.51,10,0.5,lcb,fixed_predictable,predictable_kelly,,,-18.191583156585693,
0.51,100,0.5,lcb,fixed_predictable,predictable_kelly,,,-18.191583156585693,
0.51,500,0.5,lcb,fixed_predictable,predictable_kelly,,,-18.191583156585693,
0.51,1,0.5,lcb,fixed_predictable,greedy_kelly,,,-18.191583156585693,
0.51,3,0.5,lcb,fixed_predictable,greedy_kelly,,,-18.191583156585693,
0.51,10,0.5,lcb,fixed_predictable,greedy_kelly,,,-18.191583156585693,
0.51,100,0.5,lcb,fixed_predictable,greedy_kelly,,,-18.191583156585693,
0.51,500,0.5,lcb,fixed_predictable,greedy_kelly,,,-18.191583156585693,
0.51,1,0.5,lcb,agrapa,round_robin,338,338,-18.17256212234497,
0.51,3,0.5,lcb,agrapa,round_robin,338,338,-18.151267290115356,
0.51,10,0.5,lcb,agrapa,round_robin,338,338,-18.128546476364136,
0.51,100,0.5,lcb,agrapa,round_robin,338,338,-18.163103818893433,
0.51,500,0.5,lcb,agrapa,round_robin,338,338,-18.085423946380615,
0.51,1,0.5,lcb,agrapa,predictable_kelly,,,-18.085423946380615,
0.51,3,0.5,lcb,agrapa,predictable_kelly,,,-18.085423946380615,
0.51,10,0.5,lcb,agrapa,predictable_kelly,,,-18.085423946380615,
0.51,100,0.5,lcb,agrapa,predictable_kelly,,,-18.085423946380615,
0.51,500,0.5,lcb,agrapa,predictable_kelly,,,-18.085423946380615,
